annotTriples	annotCost	estimatedAcc	lowerBound	upperBound
45	0.6125	1.0	0.9020350888577794	1.0
44	0.6180555555555556	0.9866666666666667	0.9430777815019652	0.9980564127371134
45	0.5875	1.0	0.9020350888577794	1.0
46	0.5944444444444444	1.0	0.9039986507066337	1.0
45	0.5875	1.0	0.9020350888577794	1.0
47	0.6013888888888889	1.0	0.9058850522127607	1.0
45	0.625	1.0	0.9020350888577794	1.0
46	0.5694444444444444	1.0	0.9039986507066337	1.0
31	0.4152777777777778	0.9791666666666666	0.9086948657320114	0.9972476647841819
30	0.3958333333333333	0.9777777777777777	0.901430964486616	0.9971689840494373
47	0.6013888888888889	1.0	0.9058850522127607	1.0
45	0.6	1.0	0.9020350888577794	1.0
30	0.42083333333333334	0.980392156862745	0.9178817189607956	0.9971116678396732
30	0.42083333333333334	0.980392156862745	0.9178817189607956	0.9971116678396732
35	0.44305555555555554	0.9791666666666667	0.9021759876618992	0.9976734381723495
31	0.4027777777777778	0.9777777777777777	0.8996145004476003	0.9972911672571656
45	0.6125	1.0	0.9020350888577794	1.0
46	0.6194444444444445	0.9861111111111112	0.9378689169739866	0.9981796601695174
45	0.575	1.0	0.9020350888577794	1.0
46	0.5694444444444444	0.9833333333333334	0.9177660450137949	0.9983137924078177
47	0.6638888888888889	1.0	0.9058850522127607	1.0
45	0.6375	1.0	0.9020350888577794	1.0
31	0.42777777777777776	0.980392156862745	0.9164561492926675	0.9972192700537861
45	0.6375	1.0	0.9020350888577794	1.0
46	0.5944444444444444	1.0	0.9039986507066337	1.0
45	0.6	1.0	0.9020350888577794	1.0
32	0.43472222222222223	0.980392156862745	0.9150186774192763	0.9973240965006733
35	0.44305555555555554	0.9791666666666667	0.9021759876618992	0.9976734381723495
47	0.5763888888888888	1.0	0.9058850522127607	1.0
45	0.5875	1.0	0.9020350888577794	1.0
32	0.4097222222222222	0.9777777777777777	0.8977870692867208	0.9974095083973941
46	0.5944444444444444	1.0	0.9039986507066337	1.0
45	0.6375	0.9871794871794872	0.945685763932097	0.9980954942176254
44	0.5430555555555555	0.9824561403508772	0.913431145956998	0.9982372748923725
45	0.575	1.0	0.9020350888577794	1.0
33	0.44166666666666665	0.9803921568627452	0.9135709369327283	0.9974260954786074
39	0.48333333333333334	0.980392156862745	0.9047378181012088	0.9979785788090115
46	0.5944444444444444	1.0	0.9039986507066337	1.0
47	0.6388888888888888	1.0	0.9058850522127607	1.0
46	0.6194444444444445	1.0	0.9039986507066337	1.0
47	0.5638888888888889	1.0	0.9058850522127607	1.0
46	0.6319444444444444	1.0	0.9039986507066337	1.0
45	0.625	1.0	0.9020350888577794	1.0
63	0.825	0.9838709677419355	0.9028308349420826	0.9991200765415502
36	0.45	0.9791666666666666	0.9005283986539235	0.9977717146298518
45	0.5625	1.0	0.9020350888577794	1.0
46	0.6069444444444444	1.0	0.9039986507066337	1.0
45	0.5875	1.0	0.9020350888577794	1.0
41	0.49722222222222223	0.9803921568627452	0.9017593822396637	0.998140813951448
46	0.6444444444444445	1.0	0.9039986507066337	1.0
46	0.6069444444444444	1.0	0.9039986507066337	1.0
43	0.5611111111111111	0.9841269841269842	0.9267655560902601	0.9980873444435597
46	0.6069444444444444	1.0	0.9039986507066337	1.0
30	0.3958333333333333	0.9777777777777779	0.9014309644866163	0.9971689840494374
45	0.625	1.0	0.9020350888577794	1.0
44	0.5555555555555556	0.9666666666666666	0.897369342382328	0.9915540035207304
34	0.4361111111111111	0.9791666666666666	0.9038176611713403	0.9975719221156862
31	0.4152777777777778	0.9791666666666666	0.9086948657320114	0.9972476647841819
45	0.625	1.0	0.9020350888577794	1.0
46	0.5819444444444445	1.0	0.9039986507066337	1.0
31	0.4152777777777778	0.9791666666666666	0.9086948657320114	0.9972476647841819
30	0.42083333333333334	0.9803921568627452	0.917881718960796	0.9971116678396732
45	0.6125	1.0	0.9020350888577794	1.0
46	0.5819444444444445	1.0	0.9039986507066337	1.0
31	0.4027777777777778	0.9777777777777777	0.8996145004476003	0.9972911672571657
31	0.4027777777777778	0.9777777777777777	0.8996145004476003	0.9972911672571656
47	0.6263888888888889	0.9861111111111112	0.9370798878035794	0.9982316649799338
30	0.3958333333333333	0.9777777777777779	0.9014309644866163	0.9971689840494374
45	0.6125	1.0	0.9020350888577794	1.0
46	0.6194444444444445	1.0	0.9039986507066337	1.0
47	0.6263888888888889	1.0	0.9058850522127607	1.0
42	0.5416666666666666	0.9833333333333334	0.9222030865822393	0.9980575682446664
45	0.5875	1.0	0.9020350888577794	1.0
46	0.6069444444444444	1.0	0.9039986507066337	1.0
32	0.44722222222222224	0.9814814814814815	0.9218637074787973	0.9973016163552997
45	0.6125	1.0	0.9020350888577794	1.0
45	0.625	1.0	0.9020350888577794	1.0
47	0.6138888888888889	1.0	0.9058850522127607	1.0
32	0.4097222222222222	0.9777777777777777	0.8977870692867208	0.9974095083973941
45	0.5875	1.0	0.9020350888577794	1.0
30	0.42083333333333334	0.9803921568627452	0.917881718960796	0.9971116678396732
45	0.65	1.0	0.9020350888577794	1.0
46	0.6194444444444445	1.0	0.9039986507066337	1.0
46	0.6319444444444444	0.9866666666666667	0.9416259646527556	0.998160240572936
32	0.4222222222222222	0.9791666666666666	0.9070785008509191	0.9973590451865223
45	0.575	1.0	0.9020350888577794	1.0
35	0.44305555555555554	0.9791666666666666	0.9021759876618992	0.9976734381723497
46	0.6069444444444444	1.0	0.9039986507066337	1.0
46	0.6069444444444444	1.0	0.9039986507066337	1.0
45	0.625	1.0	0.9020350888577794	1.0
31	0.4027777777777778	0.9777777777777777	0.8996145004476003	0.9972911672571656
45	0.6125	1.0	0.9020350888577794	1.0
45	0.6125	1.0	0.9020350888577794	1.0
45	0.625	1.0	0.9020350888577794	1.0
31	0.4152777777777778	0.9791666666666666	0.9086948657320114	0.9972476647841819
41	0.5222222222222223	0.9649122807017543	0.8933288531333631	0.990953885961274
37	0.45694444444444443	0.9791666666666666	0.89887590947734	0.9978667989184778
56	0.7388888888888889	0.9583333333333334	0.8900243334437887	0.9866964467386499
45	0.6375	1.0	0.9020350888577794	1.0
46	0.6069444444444444	1.0	0.9039986507066337	1.0
36	0.4625	0.9803921568627452	0.9091795272610718	0.9977149800817087
45	0.5875	1.0	0.9020350888577794	1.0
31	0.4027777777777778	0.9777777777777777	0.8996145004476003	0.9972911672571656
36	0.45	0.9791666666666666	0.9005283986539238	0.9977717146298519
46	0.5819444444444445	1.0	0.9039986507066337	1.0
46	0.6319444444444444	1.0	0.9039986507066337	1.0
31	0.4027777777777778	0.9777777777777777	0.8996145004476003	0.9972911672571656
37	0.45694444444444443	0.9791666666666666	0.89887590947734	0.9978667989184778
30	0.3958333333333333	0.9777777777777779	0.9014309644866163	0.9971689840494374
45	0.6375	1.0	0.9020350888577794	1.0
40	0.5402777777777777	0.9841269841269842	0.9297809162334175	0.997889661991019
45	0.5875	1.0	0.9020350888577794	1.0
45	0.6125	1.0	0.9020350888577794	1.0
45	0.6125	1.0	0.9020350888577794	1.0
42	0.5791666666666667	0.9855072463768116	0.9370842898779161	0.9979749532591231
46	0.6319444444444444	1.0	0.9039986507066337	1.0
46	0.6194444444444445	1.0	0.9039986507066337	1.0
46	0.6569444444444444	1.0	0.9039986507066337	1.0
