annotTriples	annotCost	estimatedAcc	lowerBound	upperBound
52	0.6986111111111111	1.0	0.9057105821532321	1.0
58	0.7527777777777778	1.0	0.9045388646922545	1.0
54	0.6875	1.0	0.9034151922177162	1.0
55	0.7069444444444445	1.0	0.9043515679474214	1.0
35	0.5180555555555556	0.9853927748664592	0.9376793994782445	0.9978812458020383
49	0.6777777777777778	1.0	0.9003213304854649	1.0
52	0.6486111111111111	1.0	0.9033301099624628	1.0
30	0.38333333333333336	0.9860509860509861	0.9542482418390554	0.9966687199816944
30	0.42083333333333334	0.9814975148308482	0.9169141271974702	0.997659698410471
44	0.5930555555555556	0.9845812623590402	0.9235842779527198	0.9984435873210763
32	0.4222222222222222	0.9801759087473373	0.9040397873198579	0.9979396456098161
53	0.7180555555555556	1.0	0.9024494228726376	1.0
51	0.7166666666666667	0.9888407888407889	0.9574875595127934	0.9979365142556796
50	0.6722222222222223	1.0	0.9007668870338754	1.0
32	0.43472222222222223	0.9826539201539202	0.9222896032207044	0.9977787588294099
58	0.7527777777777778	1.0	0.906307960419543	1.0
31	0.4527777777777778	0.9845812623590401	0.9366177540369587	0.9975892244688053
53	0.6555555555555556	1.0	0.901861058178147	1.0
65	0.8513888888888889	1.0	0.9113528565041364	1.0
52	0.6486111111111111	1.0	0.9042358039829547	1.0
31	0.42777777777777776	0.9801759087473374	0.9060289391263868	0.9978240241406531
31	0.42777777777777776	0.9801759087473373	0.9056154253968458	0.997848494822858
31	0.42777777777777776	0.9801759087473373	0.9060289391263865	0.997824024140653
63	0.875	1.0	0.9008551159550746	1.0
61	0.7986111111111112	1.0	0.9039927922341294	1.0
43	0.5361111111111111	0.9690166975881261	0.8991821399956791	0.9928227578540323
50	0.6597222222222222	1.0	0.9012388636618134	1.0
94	1.2152777777777777	0.9860509860509861	0.9167119677328076	0.9991903768061683
39	0.5083333333333333	0.9814975148308481	0.9047192700807161	0.9983612379191649
35	0.44305555555555554	0.9801759087473373	0.8991176675863523	0.9982042367665012
44	0.6180555555555556	0.9873846692028511	0.944307865128027	0.9982845751659746
59	0.7472222222222222	1.0	0.902552811106458	1.0
51	0.6916666666666667	1.0	0.9031434412009061	1.0
42	0.6041666666666666	0.990700657367324	0.9700242624949604	0.9976895607430185
57	0.7208333333333333	1.0	0.9070290951036885	1.0
64	0.8694444444444445	1.0	0.9196250284664439	1.0
58	0.7527777777777778	0.9814013147346481	0.9098584575977227	0.9980558369114892
49	0.6652777777777777	1.0	0.9002210393951177	1.0
43	0.6111111111111112	0.9867839391648916	0.9407697876445227	0.9982685263526259
51	0.6791666666666667	1.0	0.9039106078877812	1.0
73	0.9194444444444444	0.9801759087473373	0.9000308946849598	0.9981573487049382
50	0.6972222222222222	1.0	0.9023520749285384	1.0
30	0.4083333333333333	0.972101972101972	0.9022324383364073	0.9943014959464535
42	0.5291666666666667	0.9814975148308481	0.900481675948601	0.9985604016824311
49	0.6277777777777778	0.9867839391648916	0.9361107565815829	0.9985547539900532
31	0.42777777777777776	0.9814975148308481	0.9157975892478105	0.9977330039230005
52	0.6486111111111111	0.9814013147346481	0.9151629469274315	0.9977352836765523
54	0.6875	0.9583694083694083	0.8898458551401454	0.9867575916273182
53	0.6555555555555556	1.0	0.905083379413499	1.0
38	0.5013888888888889	0.9845812623590401	0.9292079932286471	0.9981149629410287
55	0.7194444444444444	1.0	0.9049852244952405	1.0
63	0.9	1.0	0.9012497777979388	1.0
47	0.6513888888888889	0.9884359467692801	0.9496723914772901	0.9983684034679338
52	0.7611111111111111	1.0	0.9044029554064063	1.0
31	0.4027777777777778	0.9860509860509861	0.9538835361604997	0.9967124757900351
52	0.6861111111111111	1.0	0.9025288163757254	1.0
52	0.6736111111111112	1.0	0.9002061901627492	1.0
50	0.6847222222222222	1.0	0.9025606220138093	1.0
55	0.7069444444444445	1.0	0.9043515679474214	1.0
55	0.6944444444444444	1.0	0.9039444201652094	1.0
30	0.43333333333333335	0.972101972101972	0.9034695665821497	0.994164707071205
52	0.6611111111111111	1.0	0.9038214405643842	1.0
51	0.6541666666666667	1.0	0.9030529248368456	1.0
52	0.6361111111111111	1.0	0.9027855885324295	1.0
30	0.35833333333333334	0.9888407888407889	0.9650411521934306	0.9971105182403518
55	0.6944444444444444	1.0	0.9042075915930967	1.0
51	0.6791666666666667	1.0	0.9017205840948157	1.0
30	0.37083333333333335	0.9814013147346481	0.9340135413319484	0.9961745665889027
30	0.3958333333333333	0.9801759087473373	0.9073200280682812	0.9977461103873646
30	0.42083333333333334	0.9814975148308481	0.9165597546030323	0.9976831853050796
53	0.7055555555555556	1.0	0.9023893945819306	1.0
31	0.3902777777777778	0.9888407888407889	0.9652564785135161	0.9970822164444558
60	0.7666666666666667	1.0	0.9069398403115151	1.0
53	0.7180555555555556	1.0	0.9024494228726376	1.0
31	0.44027777777777777	0.9920291348862778	0.9785608256893444	0.9973960883352742
30	0.42083333333333334	0.9826539201539202	0.9248428573783752	0.997602224021903
52	0.6611111111111111	1.0	0.9040376886650748	1.0
34	0.4486111111111111	0.9826539201539202	0.9196676799793987	0.9979480049906622
33	0.4666666666666667	0.9826539201539202	0.9214037586559146	0.9978372557873884
41	0.49722222222222223	0.9814975148308481	0.9007722778996357	0.9985473813730084
49	0.6777777777777778	1.0	0.9000137944275437	1.0
30	0.4083333333333333	0.972101972101972	0.9021466661184204	0.9943108612796392
32	0.43472222222222223	0.9814013147346481	0.9337855760737648	0.9961985124498213
51	0.6791666666666667	1.0	0.9018787119989673	1.0
50	0.6972222222222222	1.0	0.9010480465768064	1.0
33	0.44166666666666665	0.9657126823793489	0.892754248239131	0.9915624986556533
52	0.6861111111111111	1.0	0.9006277926026623	1.0
57	0.7208333333333333	0.983674277791925	0.9025364054691777	0.999081537529127
40	0.49027777777777776	0.9814975148308481	0.9022541127951644	0.9984795573916647
38	0.5138888888888888	0.9673485555838496	0.8990314825354233	0.991774198693087
30	0.42083333333333334	0.9860509860509861	0.9553129856110336	0.9965372930274282
44	0.5805555555555556	0.9860509860509861	0.9460752911998809	0.9975176241872533
38	0.5138888888888888	0.9860509860509861	0.9500977644207603	0.9971320505016878
38	0.4888888888888889	0.9814975148308481	0.9055332619488545	0.9983206027940653
76	1.0027777777777778	1.0	0.9104305733050232	1.0
38	0.5138888888888888	0.9295173961840627	0.8668112552620982	0.9651557320223842
43	0.5361111111111111	0.9814975148308481	0.8988816041252864	0.9986304881421401
51	0.7166666666666667	1.0	0.9049445047881487	1.0
61	0.7736111111111111	1.0	0.9033765006796759	1.0
39	0.48333333333333334	0.9814975148308481	0.9037626003622237	0.998407989198282
52	0.6611111111111111	0.9691625247180804	0.8947977619052664	0.9934387474226251
51	0.6791666666666667	0.9873846692028511	0.9394224581950302	0.9985914231619756
56	0.7138888888888889	1.0	0.9012683500893273	1.0
52	0.7111111111111111	1.0	0.9018538527532998	1.0
30	0.43333333333333335	0.990700657367324	0.9739936010974128	0.9971317643312977
34	0.46111111111111114	0.9801759087473373	0.9007386739159724	0.9981203370714978
37	0.48194444444444445	0.9814975148308482	0.9072737212977915	0.9982309961589068
32	0.43472222222222223	0.9268578643578643	0.8753467788171444	0.9589324453017917
53	0.6805555555555556	1.0	0.9012996240718987	1.0
32	0.43472222222222223	0.9801759087473374	0.9041727822292945	0.9979320778707703
32	0.43472222222222223	0.9801759087473373	0.9041727822292942	0.9979320778707702
30	0.3958333333333333	0.9814013147346481	0.9349518524542745	0.9960743709171664
30	0.43333333333333335	0.9814975148308482	0.9167001939612354	0.9976739021290714
