annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound	zero width	overshooting	overshooting
100	1.256944444	0.92962963	0.049233787	0.880395843	0.978863417	FALSE	FALSE	FALSE
172	2.131944444	0.888888889	0.049737434	0.839151455	0.938626323	FALSE	FALSE	FALSE
102	1.245833333	0.934108527	0.04998051	0.884128018	0.984089037	FALSE	FALSE	FALSE
172	2.144444444	0.921052632	0.049511696	0.871540936	0.970564327	FALSE	FALSE	FALSE
161	2.005555556	0.924882629	0.049814437	0.875068192	0.974697066	FALSE	FALSE	FALSE
41	0.534722222	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
31	0.377777778	1	0	1	1	TRUE	FALSE	FALSE
94	1.190277778	0.934108527	0.04998051	0.884128018	0.984089037	FALSE	FALSE	FALSE
164	2.051388889	0.913242009	0.049812558	0.863429451	0.963054567	FALSE	FALSE	FALSE
175	2.227777778	0.903292181	0.049985354	0.853306827	0.953277535	FALSE	FALSE	FALSE
32	0.397222222	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
129	1.620833333	0.925287356	0.049640395	0.875646962	0.974927751	FALSE	FALSE	FALSE
107	1.368055556	0.93	0.049465758	0.880534242	0.979465758	FALSE	FALSE	FALSE
193	2.452777778	0.917602996	0.049830004	0.867772992	0.967433	FALSE	FALSE	FALSE
167	2.072222222	0.853881279	0.049745515	0.804135763	0.903626794	FALSE	FALSE	FALSE
30	0.370833333	1	0	1	1	TRUE	FALSE	FALSE
180	2.2375	0.907172996	0.04949992	0.857673075	0.956672916	FALSE	FALSE	FALSE
116	1.405555556	0.909722222	0.049554226	0.860167997	0.959276448	FALSE	FALSE	FALSE
154	1.944444444	0.904761905	0.049996183	0.854765722	0.954758087	FALSE	FALSE	FALSE
180	2.275	0.896341463	0.049623894	0.846717569	0.945965358	FALSE	FALSE	FALSE
88	1.098611111	0.935897436	0.048915099	0.886982337	0.984812535	FALSE	FALSE	FALSE
72	0.9125	0.954545455	0.049802417	0.904743037	1.004347872	FALSE	FALSE	TRUE
153	1.95	0.922535211	0.049399919	0.873135292	0.971935131	FALSE	FALSE	FALSE
234	2.875	0.888333333	0.049585124	0.838748209	0.937918458	FALSE	FALSE	FALSE
162	2.025	0.914351852	0.049626867	0.864724985	0.963978719	FALSE	FALSE	FALSE
32	0.397222222	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
247	3.127777778	0.877581121	0.049790721	0.8277904	0.927371842	FALSE	FALSE	FALSE
71	0.893055556	0.947916667	0.049604555	0.898312112	0.997521221	FALSE	FALSE	FALSE
179	2.293055556	0.880952381	0.049969175	0.830983205	0.930921556	FALSE	FALSE	FALSE
181	2.281944444	0.896341463	0.049623894	0.846717569	0.945965358	FALSE	FALSE	FALSE
139	1.715277778	0.916666667	0.049412601	0.867254065	0.966079268	FALSE	FALSE	FALSE
30	0.383333333	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
66	0.845833333	0.940860215	0.049199806	0.891660409	0.990060021	FALSE	FALSE	FALSE
55	0.681944444	0.965277778	0.048079797	0.91719798	1.013357575	FALSE	FALSE	TRUE
191	2.463888889	0.901098901	0.049748667	0.851350234	0.950847568	FALSE	FALSE	FALSE
141	1.766666667	0.907407407	0.049462605	0.857944802	0.956870013	FALSE	FALSE	FALSE
30	0.383333333	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
52	0.636111111	0.954545455	0.048925124	0.90562033	1.003470579	FALSE	FALSE	TRUE
205	2.586111111	0.899641577	0.049727936	0.849913641	0.949369513	FALSE	FALSE	FALSE
122	1.572222222	0.91954023	0.049685217	0.869855013	0.969225447	FALSE	FALSE	FALSE
253	3.206944444	0.896551724	0.049901741	0.846649983	0.946453466	FALSE	FALSE	FALSE
126	1.6	0.933908046	0.049488821	0.884419225	0.983396867	FALSE	FALSE	FALSE
190	2.419444444	0.893939394	0.049859628	0.844079766	0.943799022	FALSE	FALSE	FALSE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
34	0.411111111	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
69	0.866666667	0.940860215	0.049199806	0.891660409	0.990060021	FALSE	FALSE	FALSE
31	0.390277778	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
216	2.7125	0.888316151	0.049916988	0.838399163	0.938233139	FALSE	FALSE	FALSE
132	1.654166667	0.935028249	0.049328566	0.885699683	0.984356814	FALSE	FALSE	FALSE
210	2.595833333	0.880952381	0.049829185	0.831123196	0.930781566	FALSE	FALSE	FALSE
196	2.436111111	0.903100775	0.049658299	0.853442476	0.952759075	FALSE	FALSE	FALSE
151	1.898611111	0.901960784	0.049465454	0.85249533	0.951426239	FALSE	FALSE	FALSE
88	1.098611111	0.948717949	0.049701385	0.899016564	0.998419334	FALSE	FALSE	FALSE
54	0.675	0.965277778	0.048079797	0.91719798	1.013357575	FALSE	FALSE	TRUE
168	2.091666667	0.914414414	0.049588464	0.864825951	0.964002878	FALSE	FALSE	FALSE
200	2.463888889	0.912790698	0.049735147	0.86305555	0.962525845	FALSE	FALSE	FALSE
91	1.169444444	0.934108527	0.04998051	0.884128018	0.984089037	FALSE	FALSE	FALSE
168	2.104166667	0.928888889	0.049675546	0.879213343	0.978564435	FALSE	FALSE	FALSE
114	1.441666667	0.913461538	0.049534357	0.863927181	0.962995895	FALSE	FALSE	FALSE
68	0.847222222	0.955555556	0.049362792	0.906192763	1.004918348	FALSE	FALSE	TRUE
168	2.091666667	0.88963964	0.04960192	0.84003772	0.939241559	FALSE	FALSE	FALSE
89	1.118055556	0.9375	0.049190673	0.888309327	0.986690673	FALSE	FALSE	FALSE
126	1.575	0.94047619	0.049546536	0.890929654	0.990022727	FALSE	FALSE	FALSE
32	0.397222222	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
81	1.025	0.941441441	0.049375677	0.892065765	0.990817118	FALSE	FALSE	FALSE
31	0.390277778	1	0	1	1	TRUE	FALSE	FALSE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
107	1.343055556	0.930555556	0.04943477	0.881120786	0.979990325	FALSE	FALSE	FALSE
102	1.270833333	0.955555556	0.049136391	0.906419165	1.004691946	FALSE	FALSE	TRUE
178	2.211111111	0.903846154	0.049701747	0.854144407	0.953547901	FALSE	FALSE	FALSE
146	1.826388889	0.915384615	0.049686896	0.865697719	0.965071511	FALSE	FALSE	FALSE
213	2.641666667	0.903225806	0.04977376	0.853452047	0.952999566	FALSE	FALSE	FALSE
173	2.163888889	0.902597403	0.049559917	0.853037485	0.95215732	FALSE	FALSE	FALSE
165	2.045833333	0.918981481	0.049626867	0.869354614	0.968608349	FALSE	FALSE	FALSE
237	2.933333333	0.877022654	0.049774158	0.827248496	0.926796812	FALSE	FALSE	FALSE
81	1	0.947619048	0.049696735	0.897922313	0.997315782	FALSE	FALSE	FALSE
33	0.404166667	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
191	2.426388889	0.893939394	0.049859628	0.844079766	0.943799022	FALSE	FALSE	FALSE
175	2.177777778	0.913419913	0.04965539	0.863764523	0.963075304	FALSE	FALSE	FALSE
31	0.377777778	1	0	1	1	TRUE	FALSE	FALSE
120	1.483333333	0.903846154	0.04941706	0.854429094	0.953263214	FALSE	FALSE	FALSE
32	0.397222222	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
107	1.368055556	0.946666667	0.049772974	0.896893693	0.996439641	FALSE	FALSE	FALSE
178	2.223611111	0.905063291	0.049477774	0.855585517	0.954541065	FALSE	FALSE	FALSE
31	0.390277778	1	0	1	1	TRUE	FALSE	FALSE
33	0.404166667	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
88	1.073611111	0.927927928	0.049899108	0.878028819	0.977827036	FALSE	FALSE	FALSE
190	2.331944444	0.895061728	0.049846879	0.84521485	0.944908607	FALSE	FALSE	FALSE
236	2.951388889	0.882539683	0.0498049	0.832734783	0.932344582	FALSE	FALSE	FALSE
242	3.018055556	0.870716511	0.049895427	0.820821084	0.920611938	FALSE	FALSE	FALSE
122	1.534722222	0.93030303	0.049927688	0.880375342	0.980230718	FALSE	FALSE	FALSE
242	2.980555556	0.884615385	0.049718963	0.834896421	0.934334348	FALSE	FALSE	FALSE
149	1.847222222	0.915384615	0.049686896	0.865697719	0.965071511	FALSE	FALSE	FALSE
141	1.766666667	0.915343915	0.049515178	0.865828737	0.964859094	FALSE	FALSE	FALSE
209	2.626388889	0.890070922	0.049791273	0.840279649	0.939862194	FALSE	FALSE	FALSE
162	2.0125	0.922535211	0.049832645	0.872702566	0.972367857	FALSE	FALSE	FALSE
130	1.615277778	0.929824561	0.049701804	0.880122757	0.979526365	FALSE	FALSE	FALSE
148	1.840277778	0.915384615	0.049686896	0.865697719	0.965071511	FALSE	FALSE	FALSE
65	0.826388889	0.955555556	0.049362792	0.906192763	1.004918348	FALSE	FALSE	TRUE
58	0.727777778	0.955128205	0.04981381	0.905314395	1.004942016	FALSE	FALSE	TRUE
106	1.336111111	0.913194444	0.049584045	0.8636104	0.962778489	FALSE	FALSE	FALSE
159	1.979166667	0.930952381	0.049517284	0.881435097	0.980469665	FALSE	FALSE	FALSE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
196	2.498611111	0.913919414	0.049587238	0.864332175	0.963506652	FALSE	FALSE	FALSE
215	2.680555556	0.875438596	0.049846748	0.825591848	0.925285345	FALSE	FALSE	FALSE
145	1.819444444	0.91025641	0.049663063	0.860593347	0.959919474	FALSE	FALSE	FALSE
187	2.348611111	0.916666667	0.049947293	0.866719374	0.966613959	FALSE	FALSE	FALSE
31	0.390277778	1	0	1	1	TRUE	FALSE	FALSE
108	1.3625	0.925170068	0.049552652	0.875617416	0.97472272	FALSE	FALSE	FALSE
241	3.048611111	0.88030303	0.04994254	0.83036049	0.93024557	FALSE	FALSE	FALSE
205	2.573611111	0.900362319	0.049741272	0.850621047	0.950103591	FALSE	FALSE	FALSE
132	1.666666667	0.925	0.049973695	0.875026305	0.974973695	FALSE	FALSE	FALSE
145	1.806944444	0.942708333	0.049460747	0.893247586	0.992169081	FALSE	FALSE	FALSE
191	2.363888889	0.911646586	0.049562169	0.862084418	0.961208755	FALSE	FALSE	FALSE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
126	1.575	0.93452381	0.049721041	0.884802769	0.98424485	FALSE	FALSE	FALSE
