annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound	zero width	overshooting	overshooting
42	0.579166667	0.981401315	0.036452753	0.944948561	1.017854068	FALSE	FALSE	TRUE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
43	0.561111111	1	0	1	1	TRUE	FALSE	FALSE
32	0.409722222	1	0	1	1	TRUE	FALSE	FALSE
30	0.370833333	1	0	1	1	TRUE	FALSE	FALSE
32	0.372222222	1	0	1	1	TRUE	FALSE	FALSE
31	0.390277778	0.988840789	0.021871652	0.966969137	1.010712441	FALSE	FALSE	TRUE
32	0.397222222	0.832611833	0	0.832611833	0.832611833	TRUE	FALSE	FALSE
41	0.534722222	1	0	1	1	TRUE	FALSE	FALSE
30	0.395833333	0.986050986	0.027339565	0.958711421	1.013390551	FALSE	FALSE	TRUE
33	0.404166667	0.974769338	0.049451188	0.92531815	1.024220526	FALSE	FALSE	TRUE
30	0.420833333	0.832611833	0	0.832611833	0.832611833	TRUE	FALSE	FALSE
30	0.420833333	0.980175909	0.038854505	0.941321404	1.019030414	FALSE	FALSE	TRUE
48	0.608333333	0.981401315	0.036452753	0.944948561	1.017854068	FALSE	FALSE	TRUE
31	0.402777778	1	0	1	1	TRUE	FALSE	FALSE
30	0.370833333	1	0	1	1	TRUE	FALSE	FALSE
32	0.422222222	1	0	1	1	TRUE	FALSE	FALSE
30	0.420833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.408333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.420833333	0.964701965	0.049983144	0.914718821	1.014685108	FALSE	FALSE	TRUE
57	0.745833333	1	0	1	1	TRUE	FALSE	FALSE
37	0.494444444	1	0	1	1	TRUE	FALSE	FALSE
30	0.408333333	0.978650979	0.041843313	0.936807666	1.020494292	FALSE	FALSE	TRUE
30	0.383333333	0.976871894	0.045330256	0.931541638	1.022202149	FALSE	FALSE	TRUE
31	0.390277778	0.976871894	0.045330256	0.931541638	1.022202149	FALSE	FALSE	TRUE
31	0.427777778	1	0	1	1	TRUE	FALSE	FALSE
31	0.427777778	0.981401315	0.036452753	0.944948561	1.017854068	FALSE	FALSE	TRUE
35	0.480555556	0.981401315	0.036452753	0.944948561	1.017854068	FALSE	FALSE	TRUE
43	0.586111111	1	0	1	1	TRUE	FALSE	FALSE
42	0.566666667	1	0	1	1	TRUE	FALSE	FALSE
30	0.408333333	0.978650979	0.041843313	0.936807666	1.020494292	FALSE	FALSE	TRUE
31	0.440277778	0.981401315	0.036452753	0.944948561	1.017854068	FALSE	FALSE	TRUE
32	0.397222222	1	0	1	1	TRUE	FALSE	FALSE
34	0.436111111	0.974769338	0.049451188	0.92531815	1.024220526	FALSE	FALSE	TRUE
31	0.390277778	1	0	1	1	TRUE	FALSE	FALSE
31	0.365277778	1	0	1	1	TRUE	FALSE	FALSE
31	0.427777778	0.96299503	0.04941978	0.913575249	1.01241481	FALSE	FALSE	TRUE
32	0.434722222	0.964701965	0.049983144	0.914718821	1.014685108	FALSE	FALSE	TRUE
32	0.447222222	1	0	1	1	TRUE	FALSE	FALSE
30	0.395833333	0.981401315	0.036452753	0.944948561	1.017854068	FALSE	FALSE	TRUE
31	0.415277778	1	0	1	1	TRUE	FALSE	FALSE
37	0.469444444	0.964701965	0.049983144	0.914718821	1.014685108	FALSE	FALSE	TRUE
30	0.395833333	0.832611833	0	0.832611833	0.832611833	TRUE	FALSE	FALSE
30	0.383333333	0.832611833	0	0.832611833	0.832611833	TRUE	FALSE	FALSE
43	0.611111111	0.950187299	0.044047227	0.906140072	0.994234526	FALSE	FALSE	FALSE
40	0.502777778	0.967491767	0.047214743	0.920277024	1.014706511	FALSE	FALSE	TRUE
31	0.390277778	0.974769338	0.049451188	0.92531815	1.024220526	FALSE	FALSE	TRUE
30	0.433333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.395833333	1	0	1	1	TRUE	FALSE	FALSE
31	0.390277778	1	0	1	1	TRUE	FALSE	FALSE
32	0.384722222	1	0	1	1	TRUE	FALSE	FALSE
31	0.390277778	0.974769338	0.049451188	0.92531815	1.024220526	FALSE	FALSE	TRUE
38	0.501388889	0.96299503	0.04941978	0.913575249	1.01241481	FALSE	FALSE	TRUE
34	0.448611111	1	0	1	1	TRUE	FALSE	FALSE
31	0.377777778	0.974769338	0.049451188	0.92531815	1.024220526	FALSE	FALSE	TRUE
30	0.395833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.433333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.433333333	0.988840789	0.021871652	0.966969137	1.010712441	FALSE	FALSE	TRUE
30	0.395833333	0.974769338	0.049451188	0.92531815	1.024220526	FALSE	FALSE	TRUE
32	0.434722222	0.980175909	0.038854505	0.941321404	1.019030414	FALSE	FALSE	TRUE
52	0.686111111	0.969334477	0.043452878	0.925881599	1.012787354	FALSE	FALSE	TRUE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
31	0.402777778	1	0	1	1	TRUE	FALSE	FALSE
32	0.434722222	0.981497515	0.036264205	0.94523331	1.017761719	FALSE	FALSE	TRUE
30	0.408333333	0.980175909	0.038854505	0.941321404	1.019030414	FALSE	FALSE	TRUE
30	0.408333333	0.981401315	0.036452753	0.944948561	1.017854068	FALSE	FALSE	TRUE
30	0.420833333	0.978650979	0.041843313	0.936807666	1.020494292	FALSE	FALSE	TRUE
33	0.441666667	0.981497515	0.036264205	0.94523331	1.017761719	FALSE	FALSE	TRUE
31	0.415277778	1	0	1	1	TRUE	FALSE	FALSE
31	0.415277778	0.986050986	0.027339565	0.958711421	1.013390551	FALSE	FALSE	TRUE
32	0.422222222	1	0	1	1	TRUE	FALSE	FALSE
31	0.402777778	1	0	1	1	TRUE	FALSE	FALSE
33	0.429166667	0.980175909	0.038854505	0.941321404	1.019030414	FALSE	FALSE	TRUE
52	0.711111111	0.970299824	0.042452756	0.927847067	1.01275258	FALSE	FALSE	TRUE
