annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound
145	1.3694444444444445	0.9093304613095223	0.04982156142025845	0.8595088998892639	0.9591520227297807
135	1.275	0.9031230134674018	0.04883384027676031	0.8542891731906415	0.9519568537441621
115	1.086111111111111	0.9064204206146738	0.04978523405614588	0.8566351865585279	0.9562056546708196
145	1.3694444444444445	0.8773931533163261	0.049379226964894336	0.8280139263514317	0.9267723802812204
160	1.511111111111111	0.9000000000000001	0.04962333198284464	0.8503766680171555	0.9496233319828448
35	0.33055555555555555	0.7843191706580799	0.04521286255512238	0.7391063081029575	0.8295320332132022
190	1.7944444444444445	0.876931789098292	0.049615833223418	0.8273159558748739	0.92654762232171
255	2.408333333333333	0.8785991809567986	0.04996632420353953	0.828632856753259	0.9285655051603381
235	2.2194444444444446	0.8994999573441613	0.049519272587034154	0.8499806847571272	0.9490192299311955
65	0.6138888888888889	0.9027583940167003	0.048144466090063884	0.8546139279266365	0.9509028601067642
260	2.4555555555555557	0.8610093149696074	0.04667382598836105	0.8143354889812464	0.9076831409579684
138	1.3083333333333333	0.9301231230259966	0.048170593234338054	0.8819525297916586	0.9782937162603347
150	1.4166666666666667	0.9242891839337763	0.04922359866896265	0.8750655852648137	0.973512782602739
60	0.5666666666666667	0.9130342334183703	0.04834465184371266	0.8646895815746577	0.9613788852620829
65	0.6138888888888889	0.8880786234428862	0.04983425688251842	0.8382443665603678	0.9379128803254047
135	1.275	0.9281122024499758	0.04982508664092086	0.8782871158090549	0.9779372890908967
105	0.9916666666666667	0.8980142254871847	0.0496626834325796	0.8483515420546051	0.9476769089197643
80	0.7555555555555555	0.746833327942804	0.048987846216591406	0.6978454817262126	0.7958211741593954
173	1.6388888888888888	0.9412240502004371	0.04832436561870914	0.892899684581728	0.9895484158191462
130	1.2277777777777779	0.8919261261844023	0.04997059305883573	0.8419555331255665	0.941896719243238
150	1.4166666666666667	0.9003078075649913	0.049400880592518744	0.8509069269724725	0.9497086881575101
115	1.086111111111111	0.8678978969266314	0.04978523405614589	0.8181126628704856	0.9176831309827773
115	1.086111111111111	0.9346023163525625	0.049469870883231196	0.8851324454693313	0.9840721872357937
173	1.6388888888888888	0.8765830827107643	0.04924879201866105	0.8273342906921033	0.9258318747294254
185	1.7472222222222222	0.8863625909516878	0.04976298798600307	0.8365996029656847	0.9361255789376909
30	0.2833333333333333	0.9871591587706525	0.025167586340718064	0.9619915724299345	1.0123267451113707
115	1.086111111111111	0.9205277280126329	0.04834820667989604	0.8721795213327369	0.968875934692529
140	1.3222222222222222	0.9224908113702603	0.04875727370887535	0.873733537661385	0.9712480850791357
55	0.5194444444444445	0.85196010366774	0.048994842628339266	0.8029652610394007	0.9009549462960793
75	0.7083333333333334	0.9266011471309283	0.04983425688251841	0.8767668902484099	0.9764354040134468
70	0.6611111111111111	0.9076516508746386	0.04498393519778595	0.8626677156768526	0.9526355860724246
135	1.275	0.9266051051536683	0.04878483701016092	0.8778202681435074	0.9753899421638292
115	1.086111111111111	0.9038522523688044	0.049696558831594774	0.8541556935372097	0.9535488112003991
100	0.9444444444444444	0.89994714613703	0.04886746307234743	0.8510796830646825	0.9488146092093774
150	1.4166666666666667	0.8875786556683112	0.04876080179106967	0.8388178538772415	0.9363394574593809
35	0.33055555555555555	0.7843191706580799	0.04521286255512238	0.7391063081029575	0.8295320332132022
70	0.6611111111111111	0.9564116116375121	0.04890915766587216	0.90750245397164	1.0053207693033843
145	1.3694444444444445	0.8684065807215737	0.049202287262984465	0.8192042934585892	0.9176088679845582
65	0.6138888888888889	0.9027583940167003	0.048144466090063884	0.8546139279266365	0.9509028601067642
200	1.8888888888888888	0.841688689109571	0.04906392747377015	0.7926247616358008	0.8907526165833412
185	1.7472222222222222	0.9028722439608486	0.049762987986003065	0.8531092559748455	0.9526352319468517
150	1.4166666666666667	0.8805049139651806	0.048870306657658805	0.8316346073075218	0.9293752206228394
115	1.086111111111111	0.9051187185374158	0.04951325500874583	0.85560546352867	0.9546319735461616
165	1.5583333333333333	0.8881969968415944	0.04913385082599035	0.8390631460156041	0.9373308476675847
55	0.5194444444444445	0.8744064073129219	0.04651966292641039	0.8278867443865114	0.9209260702393323
125	1.1805555555555556	0.8888126119715769	0.04901070352809819	0.8398019084434787	0.9378233154996751
177	1.6791666666666667	0.8948695361597022	0.049372092294504254	0.845497443865198	0.9442416284542064
140	1.3222222222222222	0.8477778290816362	0.04891294658015952	0.7988648825014767	0.8966907756617958
200	1.8888888888888888	0.8948548545310996	0.046676108603221377	0.8481787459278782	0.9415309631343209
110	1.038888888888889	0.9186016018282304	0.04965696414513263	0.8689446376830977	0.968258565973363
113	1.0722222222222222	0.9115567571064129	0.04853591069819346	0.8630208464082194	0.9600926678046064
230	2.172222222222222	0.8763061065658391	0.049892001503675704	0.8264141050621634	0.9261981080695147
95	0.8972222222222223	0.9145119243054342	0.0479185937261727	0.8665933305792615	0.9624305180316068
30	0.2833333333333333	0.9807387381559789	0.03775137951107709	0.9429873586449018	1.018490117667056
65	0.6138888888888889	0.9119213765571139	0.04983425688251842	0.8620871196745955	0.9617556334396323
160	1.511111111111111	0.8884658945491459	0.04943224931232287	0.839033645236823	0.9378981438614689
155	1.4638888888888888	0.865787119978946	0.049507191515868874	0.8162799284630771	0.9152943114948149
125	1.1805555555555556	0.9119213765571141	0.04983425688251845	0.8620871196745957	0.9617556334396326
35	0.33055555555555555	0.7843191706580799	0.04521286255512238	0.7391063081029575	0.8295320332132022
160	1.511111111111111	0.8682717718203352	0.0495077057806213	0.818764066039714	0.9177794776009565
130	1.2277777777777779	0.9077120552894614	0.04930743521275475	0.8584046200767067	0.9570194905022161
130	1.2277777777777779	0.892333248021656	0.04861155283721893	0.8437216951844371	0.940944800858875
110	1.038888888888889	0.9273351356596192	0.04857130405596524	0.878763831603654	0.9759064397155844
60	0.5666666666666667	0.9515567571064127	0.04834465184371265	0.9032121052627001	0.9999014089501254
205	1.9361111111111111	0.8973974887771655	0.04934515062899444	0.848052338148171	0.94674263940616
90	0.85	0.8976415802029597	0.049157732108933906	0.8484838480940258	0.9467993123118936
130	1.2277777777777779	0.8929989838937725	0.049771942759129974	0.8432270411346425	0.9427709266529025
100	0.9444444444444444	0.9145119243054343	0.0479185937261727	0.8665933305792616	0.962430518031607
110	1.038888888888889	0.9096306309220106	0.04983973942801119	0.8597908914939993	0.9594703703500218
110	1.038888888888889	0.9490071127435924	0.04872261072653992	0.9002845020170525	0.9977297234701323
