annotTriples	annotCost	estimatedAcc	MoE
173	3.151388888888889	0.8728323699421965	0.04978947861923117
140	2.6222222222222222	0.9	0.04987259262774956
94	1.7902777777777779	0.9361702127659575	0.049681617219734436
40	0.7527777777777778	0.975	0.04899909961350135
186	3.4166666666666665	0.8602150537634409	0.04996845804154828
125	2.3805555555555555	0.912	0.04986272438580172
125	2.3430555555555554	0.912	0.049862724385801686
94	1.7902777777777779	0.9361702127659575	0.04968161721973444
108	2.075	0.9259259259259259	0.04962236286321352
55	1.0694444444444444	0.9636363636363636	0.04992768783767697
130	2.415277777777778	0.9076923076923077	0.04995069212283029
108	2.0375	0.9259259259259259	0.04962236286321351
130	2.4277777777777776	0.9076923076923077	0.04995069212283029
130	2.452777777777778	0.9076923076923077	0.04995069212283028
130	2.390277777777778	0.9076923076923077	0.04995069212283029
135	2.475	0.9037037037037037	0.04994747231473846
101	1.8888888888888888	0.9306930693069307	0.049778254530194944
114	2.1666666666666665	0.9210526315789473	0.049718718044736286
153	2.8	0.8888888888888888	0.049960730652569604
149	2.8097222222222222	0.8926174496644296	0.049878889604374345
140	2.584722222222222	0.9	0.04987259262774956
149	2.709722222222222	0.8926174496644296	0.04987888960437429
114	2.1041666666666665	0.9210526315789473	0.04971871804473621
153	2.85	0.8888888888888888	0.0499607306525696
140	2.5972222222222223	0.9	0.04987259262774956
77	1.4472222222222222	0.948051948051948	0.04989327309518449
55	1.0569444444444445	0.9636363636363636	0.04992768783767696
135	2.5375	0.9037037037037037	0.04994747231473844
114	2.129166666666667	0.9210526315789473	0.04971871804473622
165	3.058333333333333	0.8787878787878788	0.04995065893980685
94	1.8152777777777778	0.9361702127659575	0.04968161721973446
40	0.7527777777777778	0.975	0.048999099613501344
180	3.3	0.8666666666666667	0.049798583597517924
67	1.2902777777777779	0.9552238805970149	0.04989441498927006
125	2.2680555555555557	0.912	0.04986272438580166
40	0.7652777777777777	0.975	0.04899909961350135
30	0.5708333333333333	1.0	0.0
