annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound
205	2.286111111111111	0.8727714192357784	0.049342642256331656	0.8234287769794467	0.9221140614921101
30	0.3333333333333333	0.9829106102732036	0.03349458838228967	0.9494160218909139	1.0164051986554932
153	1.7	0.8950498384246908	0.04995761241579414	0.8450922260088967	0.9450074508404849
99	1.1	0.9265259299705877	0.049572663235564945	0.8769532667350227	0.9760985932061527
51	0.5666666666666667	0.953840601005489	0.048358655122755625	0.9054819458827333	1.0021992561282447
30	0.3333333333333333	1.0	0.0	1.0	1.0
156	1.7333333333333334	0.8968480677681403	0.04962277972766255	0.8472252880404778	0.9464708474958028
129	1.4333333333333333	0.9347441341546077	0.04882064306167628	0.8859234910929313	0.983564777216284
36	0.4	0.9769203005027446	0.04523537978862803	0.9316849207141166	1.0221556802913727
45	0.5	0.9644927700042223	0.0471146105962958	0.9173781594079264	1.0116073806005181
30	0.3333333333333333	0.9794927323278444	0.04019350605874761	0.9392992262690968	1.019686238386592
192	2.1333333333333333	0.8893146197377122	0.04989761903678084	0.8394170007009314	0.939212238774493
120	1.3333333333333333	0.8910874051657266	0.04998734602576321	0.8411000591399633	0.9410747511914899
51	0.5666666666666667	0.953840601005489	0.04835865512275562	0.9054819458827333	1.0021992561282447
36	0.4	0.9769203005027446	0.04523537978862803	0.9316849207141166	1.0221556802913727
216	2.4	0.8614681693172439	0.04970950966717685	0.8117586596500671	0.9111776789844207
105	1.1666666666666667	0.9148695737355288	0.049364452996638775	0.86550512073889	0.9642340267321676
102	1.1333333333333333	0.9505399068731607	0.04978792386317728	0.9007519830099834	1.000327830736338
30	0.3333333333333333	1.0	0.0	1.0	1.0
162	1.8	0.885709129505097	0.049884508592112665	0.8358246209129843	0.9355936380972096
157	1.7527777777777778	0.9107511086843142	0.04980810650958379	0.8609430021747304	0.960559215193898
132	1.4666666666666666	0.916334906949779	0.04926598939937947	0.8670689175503996	0.9656008963491585
147	1.6333333333333333	0.8837571920767615	0.04970299295794236	0.8340541991188192	0.9334601850347038
139	1.5527777777777778	0.9001050683282246	0.04877544467146707	0.8513296236567575	0.9488805129996917
138	1.5333333333333334	0.8919798854701082	0.049823064801494	0.8421568206686142	0.9418029502716022
36	0.4	0.8743839621419662	0.04523537978862802	0.8291485823533382	0.9196193419305942
180	2.0	0.9174108757371714	0.0483694291866211	0.8690414465505503	0.9657803049237925
154	1.7194444444444446	0.8979397514368324	0.049437001365574613	0.8485027500712577	0.947376752802407
45	0.5	0.9644927700042223	0.047114610596295806	0.9173781594079264	1.0116073806005181
114	1.2666666666666666	0.9238043676003349	0.04991872452765543	0.8738856430726795	0.9737230921279904
159	1.7666666666666666	0.8980837487546336	0.049541988118729244	0.8485417606359044	0.9476257368733628
144	1.6	0.9066094707575638	0.04995079679656406	0.8566586739609997	0.9565602675541279
189	2.1	0.8806015795706699	0.04904128476853673	0.8315602948021331	0.9296428643392066
156	1.7333333333333334	0.8895865540649581	0.049990615002320715	0.8395959390626374	0.9395771690672788
120	1.3333333333333333	0.9401690892240518	0.04878114827650398	0.8913879409475478	0.9889502375005559
169	1.886111111111111	0.9058498309237959	0.04881181489437091	0.857038016029425	0.9546616458181668
175	1.9527777777777777	0.9153248236726401	0.04948461702862402	0.8658402066440161	0.9648094407012642
171	1.9	0.8666606510892798	0.04965855810559584	0.817002092983684	0.9163192091948756
51	0.5666666666666667	0.9644927700042223	0.04711461059629581	0.9173781594079264	1.0116073806005181
99	1.1	0.9279589448035476	0.04864101627800465	0.8793179285255429	0.9765999610815522
189	2.1	0.8820007495509771	0.049608232402538845	0.8323925171484382	0.9316089819535159
147	1.6333333333333333	0.9102506260473844	0.049905770399365425	0.860344855648019	0.9601563964467498
151	1.6861111111111111	0.8921462470202975	0.0489691083050115	0.843177138715286	0.9411153553253091
208	2.3194444444444446	0.882073040957264	0.0484676237863075	0.8336054171709565	0.9305406647435716
151	1.6861111111111111	0.8906993348018009	0.049744217900312755	0.840955116901488	0.9404435527021137
178	1.9861111111111112	0.8870050722514302	0.04924733075454403	0.8377577414968862	0.9362524030059742
48	0.5333333333333333	0.9794927323278444	0.04019350605874761	0.9392992262690968	1.019686238386592
30	0.3333333333333333	1.0	0.0	1.0	1.0
138	1.5333333333333334	0.8692310777219174	0.0496632046190949	0.8195678731028225	0.9188942823410123
166	1.8527777777777779	0.8537198229883092	0.04988330432856446	0.8038365186597447	0.9036031273168736
51	0.5666666666666667	0.9544282940618763	0.04866650863796405	0.9057617854239123	1.0030948026998403
144	1.6	0.8890469813306723	0.04929956509589886	0.8397474162347734	0.9383465464265711
148	1.6527777777777777	0.8666666666666667	0.049806375616540194	0.8168602910501265	0.9164730422832069
153	1.7	0.8966858325940033	0.04979976667988393	0.8468860659141193	0.9464855992738872
129	1.4333333333333333	0.8923067668342484	0.04861466003478604	0.8436921067994623	0.9409214268690345
147	1.6333333333333333	0.8913705770068735	0.049583219492786275	0.8417873575140872	0.9409537964996598
217	2.4194444444444443	0.8672877799987937	0.04984083088338019	0.8174469491154135	0.9171286108821739
150	1.6666666666666667	0.8844210727796487	0.049473932944710565	0.8349471398349381	0.9338950057243592
144	1.6	0.8886209272404411	0.04980023145155797	0.8388206957888831	0.938421158691999
132	1.4666666666666666	0.9038496243715693	0.049482065740010066	0.8543675586315593	0.9533316901115794
99	1.1	0.8962258035804879	0.04969919669430793	0.84652660688618	0.9459250002747958
120	1.3333333333333333	0.925710173173276	0.04921666541452174	0.8764935077587542	0.9749268385877977
