annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound
30	0.3333333333333333	1.0	0.0	1.0	1.0
74	0.8263888888888888	0.9466666666666665	0.04889009147043458	0.897776575196232	0.9955567581371011
169	1.886111111111111	0.8947368421052629	0.04948894736920509	0.8452478947360579	0.944225789474468
144	1.6	0.8819444444444443	0.04955422555679961	0.8323902188876448	0.9314986700012439
207	2.3	0.8405797101449274	0.049758935765441166	0.7908207743794862	0.8903386459103686
75	0.8333333333333334	0.9466666666666665	0.04889009147043457	0.897776575196232	0.9955567581371011
54	0.6	0.9629629629629629	0.04979719263391015	0.9131657703290528	1.012760155596873
99	1.1	0.9191919191919192	0.04949404001363776	0.8696978791782815	0.968685959205557
242	2.7055555555555557	0.8536585365853661	0.049542891637418415	0.8041156449479476	0.9032014282227845
114	1.2666666666666666	0.8947368421052632	0.04992518405920249	0.8448116580460607	0.9446620261644656
168	1.8666666666666667	0.8511904761904762	0.04972104052535954	0.8014694356651166	0.9009115167158357
93	1.0333333333333334	0.924731182795699	0.04987227227759479	0.8748589105181042	0.9746034550732938
108	1.2	0.9074074074074076	0.04946260524386544	0.8579448021635421	0.956870012651273
117	1.3	0.8888888888888891	0.04996073065256966	0.8389281582363194	0.9388496195414587
80	0.8930555555555556	0.9382716049382716	0.04977058446068585	0.8885010204775857	0.9880421893989574
111	1.2333333333333334	0.9009009009009009	0.04976876665596053	0.8511321342449404	0.9506696675568614
162	1.8	0.8827160493827159	0.04932681745612083	0.833389231926595	0.9320428668388367
120	1.3333333333333333	0.8833333333333334	0.04989824065856701	0.8334350926747665	0.9332315739919004
97	1.086111111111111	0.9191919191919192	0.04949404001363777	0.8696978791782815	0.968685959205557
156	1.7333333333333334	0.891025641025641	0.0498535601037977	0.8411720809218433	0.9408792011294387
147	1.6333333333333333	0.8775510204081632	0.04929036762310464	0.8282606527850586	0.9268413880312679
144	1.6	0.8819444444444442	0.049554225556799635	0.8323902188876445	0.9314986700012439
162	1.8	0.876543209876543	0.04974496693245836	0.8267982429440847	0.9262881768090013
40	0.4527777777777778	0.9761904761904762	0.04666580915571558	0.9295246670347606	1.0228562853461918
30	0.3333333333333333	1.0	0.0	1.0	1.0
163	1.8194444444444444	0.9030303030303028	0.04992768783767696	0.8531026151926259	0.9529579908679798
93	1.0333333333333334	0.9247311827956991	0.04987227227759478	0.8748589105181043	0.9746034550732939
135	1.5	0.9037037037037037	0.04923378703033956	0.8544699166733641	0.9529374907340432
109	1.2194444444444446	0.9009009009009009	0.04976876665596052	0.8511321342449404	0.9506696675568614
114	1.2666666666666666	0.8947368421052632	0.04992518405920249	0.8448116580460607	0.9446620261644656
89	1.0055555555555555	0.924731182795699	0.04987227227759479	0.8748589105181042	0.9746034550732938
138	1.5333333333333334	0.898550724637681	0.04919937974244227	0.8493513448952388	0.9477501043801233
42	0.4666666666666667	0.9761904761904762	0.04666580915571558	0.9295246670347606	1.0228562853461918
138	1.5333333333333334	0.8985507246376813	0.04919937974244226	0.849351344895239	0.9477501043801235
99	1.1	0.9191919191919192	0.049494040013637754	0.8696978791782815	0.968685959205557
123	1.3666666666666667	0.9186991869918698	0.04988339661817944	0.8688157903736904	0.9685825836100492
204	2.2666666666666666	0.8578431372549017	0.049950489368966504	0.8078926478859352	0.9077936266238682
145	1.6194444444444445	0.8775510204081631	0.04929036762310463	0.8282606527850584	0.9268413880312678
42	0.4666666666666667	0.9761904761904762	0.04666580915571558	0.9295246670347606	1.0228562853461918
42	0.4666666666666667	0.9761904761904763	0.04666580915571559	0.9295246670347607	1.0228562853461918
173	1.926388888888889	0.8850574712643678	0.04966281069961183	0.835394660564756	0.9347202819639797
30	0.3333333333333333	1.0	0.0	1.0	1.0
77	0.8722222222222222	0.9382716049382717	0.049770584460685864	0.8885010204775858	0.9880421893989575
107	1.1930555555555555	0.9074074074074076	0.04946260524386545	0.8579448021635421	0.956870012651273
172	1.9194444444444445	0.8850574712643677	0.04966281069961183	0.8353946605647559	0.9347202819639796
180	2.0	0.9	0.04983779455441728	0.8501622054455827	0.9498377945544173
141	1.5666666666666667	0.8865248226950354	0.049782427317480775	0.8367423953775547	0.9363072500125161
141	1.5666666666666667	0.8865248226950354	0.049782427317480775	0.8367423953775547	0.9363072500125161
132	1.4666666666666666	0.9090909090909091	0.049193863454302586	0.8598970456366065	0.9582847725452116
237	2.6333333333333333	0.8565400843881854	0.04949549187770716	0.8070445925104782	0.9060355762658926
90	1.0	0.9333333333333332	0.048527489989867674	0.8848058433434656	0.9818608233232009
106	1.1861111111111111	0.9074074074074076	0.04946260524386545	0.8579448021635421	0.956870012651273
163	1.8194444444444444	0.8666666666666664	0.049717906708849645	0.8169487599578167	0.916384573375516
117	1.3	0.8888888888888888	0.04996073065256969	0.8389281582363192	0.9388496195414585
108	1.2	0.9074074074074076	0.04946260524386545	0.8579448021635421	0.956870012651273
117	1.3	0.8888888888888891	0.04996073065256966	0.8389281582363194	0.9388496195414587
153	1.7	0.9019607843137255	0.049414923322950256	0.8525458609907752	0.9513757076366758
42	0.4666666666666667	0.9761904761904762	0.04666580915571558	0.9295246670347606	1.0228562853461918
204	2.2666666666666666	0.8676470588235292	0.049618404871524205	0.818028653952005	0.9172654636950535
154	1.7194444444444446	0.8974358974358974	0.04926023007883421	0.8481756673570632	0.9466961275147315
144	1.6	0.9166666666666666	0.04959398025678105	0.8670726864098856	0.9662606469234477
142	1.586111111111111	0.8819444444444443	0.04955422555679963	0.8323902188876446	0.931498670001244
