annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound
105	0.9916666666666667	0.13333333333333336	0.04938645030224979	0.08394688303108357	0.18271978363558317
75	0.7083333333333334	0.06666666666666667	0.0493864503022498	0.017280216364416866	0.11605311696891646
160	1.511111111111111	0.15000000000000002	0.04978313499047726	0.10021686500952276	0.19978313499047728
110	1.038888888888889	0.1	0.04994450700198684	0.050055492998013165	0.14994450700198686
126	1.2	0.1	0.049821414992281474	0.05017858500771853	0.14982141499228147
75	0.7083333333333334	0.06666666666666667	0.0493864503022498	0.017280216364416866	0.11605311696891646
110	1.038888888888889	0.09999999999999999	0.04994450700198684	0.05005549299801315	0.14994450700198683
80	0.7555555555555555	0.075	0.048999099613501365	0.026000900386498632	0.12399909961350136
150	1.4166666666666667	0.10666666666666669	0.04876952386033591	0.05789714280633078	0.15543619052700258
190	1.7944444444444445	0.1421052631578948	0.04882822007310472	0.09327704308479007	0.1909334832309995
55	0.5194444444444445	0.03636363636363637	0.04781032039508628	-0.01144668403144991	0.08417395675872265
110	1.038888888888889	0.0909090909090909	0.04979292999991597	0.04111616090917493	0.14070202090900685
125	1.1805555555555556	0.128	0.049995091819080725	0.07800490818091928	0.17799509181908074
110	1.038888888888889	0.09999999999999999	0.04994450700198684	0.05005549299801315	0.14994450700198683
145	1.3694444444444445	0.11034482758620691	0.049926687708917325	0.060418139877289584	0.16027151529512423
80	0.7555555555555555	0.075	0.048999099613501365	0.026000900386498632	0.12399909961350136
40	0.37777777777777777	0.025	0.048999099613501365	-0.023999099613501364	0.07399909961350137
160	1.511111111111111	0.08750000000000001	0.049588288313305584	0.037911711686694424	0.1370882883133056
109	1.0319444444444446	0.09090909090909091	0.04979292999991596	0.04111616090917495	0.14070202090900688
55	0.5194444444444445	0.03636363636363637	0.04781032039508628	-0.01144668403144991	0.08417395675872265
80	0.7555555555555555	0.075	0.04899909961350136	0.02600090038649864	0.12399909961350136
110	1.038888888888889	0.0818181818181818	0.049335404861940636	0.03248277695624117	0.13115358668012245
107	1.0180555555555555	0.07272727272727274	0.04856328514852245	0.02416398757875029	0.12129055787579518
110	1.038888888888889	0.11818181818181818	0.04933540486194063	0.06884641331987755	0.16751722304375882
110	1.038888888888889	0.10909090909090909	0.04979292999991597	0.059297979090993116	0.15888383909082504
